Method,Accuracy,Train Time (s),Pred Time (s),Memory (MB),Emissions (kg CO2eq),Composite Score
LR,0.5,3.397222137451172,0.00022974014282226563,1357.53125,1.02080568892926e-05,-0.04
RF,0.9,0.7804439067840576,0.000708627700805664,1302.796875,2.349445355071336e-06,0.334679333076565
DT,0.85,0.7201700210571289,0.000170135498046875,1282.23125,2.165968613694452e-06,0.3173415319289572
